start_time	end_time	transcript
0.00	4.48	地下換物 当地上田ホーム
19.00	22.10	波北elt
30.00	37.00	718キロ級の決勝戦の返しがアナウンスされました。
37.00	42.00	決勝カードはハマダ勝利戦士と高山リカ戦士。
42.00	49.00	白の十道義ハマダ勝利戦士は岩ずと仕方東京オリンピックの決めだりスト。
49.00	54.00	この日は1回戦で運命でしっかりとしては、
54.00	58.00	1回戦で運命でしっかりと戦士は、岩ずと仕方東京オリンピックの決めだりスト。
58.00	62.00	この日は、1回戦で運命でしっかり、主選手を試し取ったでしょうか。
62.00	68.00	1本の決勝は、伊住み甲選手をよく勝ったので1本で下しての決勝を渡します。
68.00	73.00	1本の高山選手、1回戦で砂統を奴以下選手に腕がらみ1本、
73.00	78.00	1回戦は運命決勝利戦士を7厚みが埋めたことも、
78.00	81.00	今度やぶって決勝にも出てきました
82.00	84.00	高いま選手すごい勝ち上がりですね
84.00	86.00	すごいですね、いきょいがありますね
86.00	89.00	いきょいりこのものすごいばかつることで、高いま選手ですが
89.00	93.00	今日は高いま選手のその重手の目が出ているひだなというふうに思います
93.00	94.00	そうですね
99.00	101.00	これも乗るかするかの二人ですね
101.00	105.00	うさはですね、この二人も持っているつきがり、下手いりのせいながち
106.00	110.00	ハマダ選手だけついてネワザを狙おうんとしましたが
110.00	113.00	高いま選手が先に立ち上がっても待て
113.00	115.00	最初の8秒の公報でした
119.00	122.00	両エリの飛ぼえながら高いま選手、積極的です
127.00	128.00	前が来りですね
128.00	129.00	そうですね
130.00	140.00	今、この収束し始めたわざというものを必ず体感に出してくるんですよね
140.00	144.00	これもハマダ選手にその技を試していっている
144.00	145.00	私はそういった期待も
145.00	148.00	左の右肩よりの大育とし
148.00	150.00	高いま選手を攻めますね
150.00	151.00	そうですね
154.00	156.00	1かにも7-8キロキ裸し
159.00	164.00	高いま選手が攻めてくることによってハマダ選手の良いところもどんどん出てきますかね
164.00	165.00	間違いないと思います
165.00	166.00	攻め合い
170.00	175.00	1また腕が残ったところ、水から遠くに防ました、高いま選手
177.00	180.00	腕を引っ張り出そうというハマダ選手
180.00	181.00	あ、来ました
184.00	185.00	これ出てくるんですね
185.00	187.00	で、本当ですね
190.00	192.00	新単が向こう側ですから
192.00	194.00	ひょっとすると腕が出てきたのが
194.00	196.00	ミニック勝ったのがもしれません
203.00	206.00	左一本全員投げた、高いま選手ですごい
207.00	212.00	あのハマダ選手がちょっと心臓に見えてしまうくらい高いま選手が攻めてます
212.00	214.00	そうですね、ハマダ選手心臓ですね
220.00	222.00	立て続けに攻めています
222.00	224.00	ハマダ選手に指導を1つ
224.00	226.00	組んでじっくりという形じゃないか
226.00	228.00	敷き手でエリーを持って
228.00	229.00	つり手不住分のまま
229.00	232.00	身を押すでがりでくずしていきました
240.00	242.00	ハマダ選手前に出ます
244.00	246.00	高いま選手を止めなげる
247.00	249.00	足を抜いて
249.00	250.00	押さえ込みませんでしたが
250.00	251.00	腕を確保しました
251.00	253.00	ハマダ選手得意の形です
257.00	260.00	で、一本抱えたままバランスの取り合いになっています
263.00	265.00	足が抜ければ押さえ込みですが
269.00	271.00	まてが抱かりました
273.00	274.00	腕は通って
275.00	277.00	高速できるところだったんですが
294.00	296.00	先ほどのアリチゴコロです
296.00	298.00	片手の押そう動としは
298.00	299.00	アザーリの反転です
300.00	302.00	これ1分40秒となったら
302.00	304.00	組み際に高山選手の
304.00	306.00	右を押す動としがわざあり
318.00	320.00	映像反転を要求します
324.00	326.00	新しいルールでは
326.00	328.00	対測の設置が90度以上であれば
328.00	330.00	わざの効果が認められます
333.00	336.00	片手の押しが90度以上の角度で
336.00	338.00	設置していれば
338.00	340.00	わざの効果がありと認められる
340.00	341.00	形ですので
341.00	343.00	そこを今見極めているものと
343.00	344.00	思われます
344.00	346.00	わざあり取り消されました
351.00	353.00	ハマダ選手は命びろい
358.00	360.00	今回は選手引き込み返し
362.00	364.00	回ると思いましたが
364.00	366.00	回るとわざあり確率でしたが
